date,state,avgLoans,totalLoans,avgTerm,avgIntRate,avgGrade,avgEmpLength,avgAnnualInc,avgVerifStatus,avgHomeOwner,avgOpenAcc,avgRevolBal,avgRevolUtil,avgTotalAcc,countOfLoans
2016-09-01,MI,14027.476255088195,10338250,42.122116689280865,13.64090909090909,2.78561736770692,6.363095238095238,76450.01955223881,0.7245590230664858,0.17367706919945725,12.291723202170964,16550.119402985074,49.23396739130435,25.81953867028494,737
2016-10-01,MI,13345.239420935412,11984025,41.74610244988864,13.80749443207127,2.814031180400891,6.535539215686274,72672.0131180401,0.6492204899777283,0.15033407572383073,11.826280623608017,14994.987750556793,49.7453734671126,24.601336302895323,898
2016-11-01,MI,13241.234756097561,13029375,41.90243902439025,13.475630081300812,2.7083333333333335,6.618406285072952,72432.04092479675,0.6920731707317073,0.1402439024390244,11.494918699186991,14300.904471544716,51.28028455284553,23.884146341463413,984
2016-12-01,MI,12843.298969072164,12458000,41.09690721649485,13.846350515463916,2.8195876288659796,6.409198113207547,71373.15162886598,0.6969072164948453,0.18041237113402062,11.749484536082473,13341.175257731958,50.06278350515464,23.85979381443299,970
2017-01-01,MI,13822.064276885043,11182050,42.49690976514215,13.827601977750309,2.7898640296662545,6.380165289256198,73607.17686032139,0.622991347342398,0.13226205191594562,11.898640296662546,15109.47589616811,50.66390605686032,24.274412855377008,809
2017-02-01,MI,14083.1,10562325,42.464,13.620306666666666,2.7413333333333334,6.591445427728614,74206.21006666667,0.6906666666666667,0.15866666666666668,11.906666666666666,15325.630666666666,49.40347129506008,24.961333333333332,750
2017-03-01,MI,13966.387688984882,12932875,42.66090712742981,13.25084233261339,2.654427645788337,6.355421686746988,73281.53186825055,0.6414686825053996,0.15226781857451405,12.012958963282937,15169.191144708424,49.51511879049676,24.76025917926566,926
2008-01-01,MN,10020.833333333334,60125,36,11.798333333333334,3.3333333333333335,6.333333333333333,69077.33333333333,0,0,9.333333333333334,10198.666666666666,43.36666666666667,20.333333333333332,6
2008-02-01,MN,5000,10000,36,8.719999999999999,1.5,1.5,33600,0,0,8.5,8732.5,37.85,29,2
2008-03-01,MN,11500,34500,36,9.276666666666667,1.6666666666666667,2.3333333333333335,64766.666666666664,0,0,5.333333333333333,1358.3333333333333,21,15.666666666666666,3
2008-04-01,MN,8000,56000,36,12.38,3.5714285714285716,4.142857142857143,51900,0.14285714285714285,0.14285714285714285,8.571428571428571,12983.42857142857,59.214285714285715,16.428571428571427,7
2008-05-01,MN,4450,8900,36,14.504999999999999,5,4,48500,0,0,10.5,32395,63.599999999999994,18.5,2
2008-06-01,MN,2100,2100,36,12.29,3,10,57043,0,0,16,26036,89.5,35,1
2008-07-01,MN,9000,18000,36,13.645,4,3,67184.5,0,0,12,16162.5,58.05,33,2
2008-08-01,MN,6750,13500,36,14.275,4.5,1.5,47844,1,0,8,8140.5,88.9,25,2
2008-09-01,MN,7500,7500,36,16.650000000000002,6,1,70000,1,0,17,14157,60.2,22,1
2008-10-01,MN,8000,8000,36,10.51,2,1,45000,1,0,9,2193,6.9,18,1
2008-11-01,MN,9200,46000,36,12.783999999999999,3,3.4,40739.2,0.2,0.2,7.8,10680.8,58.72,15.2,5
2008-12-01,MN,13016.666666666666,78100,36,11.481666666666667,2.1666666666666665,3.8333333333333335,63866,0.3333333333333333,0,11.5,23415.333333333332,43.15,29.833333333333332,6
2009-01-01,MN,7450,29800,36,13.709999999999999,3.5,1,45000,0.5,0,5.25,10092,56.775,7.5,4
2009-02-01,MN,13239.285714285714,92675,36,14.827142857142857,4,2.5714285714285716,73492,1,0,7.285714285714286,22688.285714285714,58.957142857142856,18.714285714285715,7
2009-03-01,MN,5375,10750,36,8.815,1,3,61002,0.5,0,9.5,32765,61.65,23,2
2009-04-01,MN,6229.166666666667,37375,36,9.7283333333333335,1.5,3.1666666666666665,45876.666666666664,0.3333333333333333,0,6.833333333333333,4706.333333333333,21.483333333333334,16.666666666666668,6
2009-05-01,MN,6312.5,50500,36,12.80125,2.75,1.875,45224.25,0.375,0,7.75,6408.875,40.075,15,8
2009-06-01,MN,6433.333333333333,57900,36,11.731111111111112,2.2222222222222223,5,66600,0.4444444444444444,0,8.11111111111111,8472.222222222223,50.333333333333336,19.22222222222222,9
2009-07-01,MN,11200,56000,36,13.472,3,1.6,62611.4,0.8,0,9.8,13679,42.480000000000004,14.8,5
2009-08-01,MN,7861.111111111111,70750,36,13.03,3,3.5555555555555554,49724.88888888889,0.6666666666666666,0,7.777777777777778,11643.222222222223,57.65555555555555,16.22222222222222,9
2009-09-01,MN,7960,39800,36,10.482,1.8,4.8,45958.4,0.2,0,6.6,17684.8,31.22,17.2,5
2009-10-01,MN,12583.333333333334,113250,36,13.567777777777778,2.7777777777777777,5.222222222222222,47153.333333333336,0.4444444444444444,0.2222222222222222,9.666666666666666,11305,53.355555555555554,20.666666666666668,9
2009-11-01,MN,10000,70000,36,11.959999999999999,2.4285714285714284,4.857142857142857,57154.28571428572,0,0.14285714285714285,11.571428571428571,10822.57142857143,36.971428571428575,26.285714285714285,7
2009-12-01,MN,10716.666666666666,96450,36,12.175555555555556,2.4444444444444446,4.333333333333333,43044.444444444445,0.4444444444444444,0.2222222222222222,6.222222222222222,8319,55.38888888888889,16.22222222222222,9
2010-01-01,MN,9316.666666666666,111800,36,11.730833333333333,2.6666666666666665,3.8181818181818183,72842,0,0.25,8.5,16083.333333333334,38.21666666666667,19.666666666666668,12
2010-02-01,MN,9202.941176470587,156450,36,12.047058823529412,2.6470588235294117,3.2,71662.70588235294,0,0,13.058823529411764,12341.235294117647,38.36875,26.941176470588236,17
2010-03-01,MN,8071.428571428572,56500,36,10.187142857142858,2,5,57815.95714285714,0,0,11,16289.285714285714,43.58571428571429,27.142857142857142,7
2010-04-01,MN,11008.333333333334,198150,36,11.460555555555556,2.2777777777777777,5,58884.666666666664,0.2777777777777778,0,9.222222222222221,8900,33.78888888888889,20.055555555555557,18
2010-05-01,MN,12300,209100,40.23529411764706,11.12,2.235294117647059,5.875,67951.12470588235,0.11764705882352941,0.058823529411764705,9.176470588235293,16125.64705882353,55.61176470588235,27.470588235294116,17
2010-06-01,MN,10197.058823529413,173350,44.470588235294116,12.55,2.823529411764706,6.9375,60196.23529411765,0.6470588235294118,0,9.235294117647058,14022.64705882353,49.752941176470586,23.941176470588236,17
2010-07-01,MN,11126.190476190477,233650,48.57142857142857,12.855714285714285,3,5.190476190476191,59620.45714285714,0.42857142857142855,0.047619047619047616,9.19047619047619,18207.714285714286,55.29047619047619,22.714285714285715,21
2010-08-01,MN,9281.25,148500,46.5,13.76375,3.125,4.5625,51286.125,0.625,0.0625,9.25,18713.125,53.60625,21,16
2010-09-01,MN,9861.111111111111,177500,44,11.004444444444445,2.2222222222222223,4.222222222222222,62055.555555555555,0.6111111111111112,0.05555555555555555,8.555555555555555,9417.5,48.05555555555556,22.166666666666668,18
2010-10-01,MN,10225,122700,50,10.076666666666666,2.0833333333333335,3.1818181818181817,50446,0.75,0,7.833333333333333,6563.083333333333,45.733333333333334,20,12
2010-11-01,MN,11152,278800,45.6,11.6416,2.8,5.48,67483.36,0.88,0.04,10.08,15383.6,47.444,23.72,25
2010-12-01,MN,9186.666666666666,137800,45.6,12.138666666666667,3.066666666666667,4.866666666666666,53833.333333333336,0.7333333333333333,0.06666666666666667,9.866666666666667,10545,50.00666666666667,21.8,15
2011-01-01,MN,8738.888888888889,157300,41.333333333333336,10.190555555555555,2.2222222222222223,6.0625,48350.84444444445,0.6111111111111112,0.1111111111111111,9.38888888888889,11947.833333333334,36.97222222222222,21.166666666666668,18
2011-02-01,MN,9947.727272727272,218850,43.63636363636363,11.228636363636364,2.3636363636363638,6.809523809523809,60249.5,0.6363636363636364,0.09090909090909091,9.5,14389.40909090909,55.28636363636363,25.272727272727273,22
2011-03-01,MN,11200.862068965518,324825,45.10344827586207,12.35896551724138,2.9655172413793105,5.423076923076923,54558.65517241379,0.5172413793103449,0.034482758620689655,8.620689655172415,14697.206896551725,56.8448275862069,19.379310344827587,29
2011-04-01,MN,10413.392857142857,291575,46.285714285714285,10.799642857142857,2.4285714285714284,5.5,55448.65,0.6071428571428571,0.07142857142857142,9.785714285714286,15026.07142857143,46.378571428571426,22.964285714285715,28
2011-05-01,MN,12772.916666666666,306550,50,12.44375,2.6666666666666665,4.708333333333333,73025.16666666667,0.7083333333333334,0.125,12.208333333333334,14933.541666666666,53.9375,28.291666666666668,24
